NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
MERCI SEIGNEUR;368;;;
O AMOR NASCEU;369;;;
DOM DA VIDA;370;;;
 SENHOR, AQUI ESTAMOS;371;;INTERCESSÃO;
ESCUTA TEU POVO;371;;;
SI TUVIERAS FE;372;;ANIMAÇÃO;Am
SI TUVIERAS FE;372;;;
SENHOR QUERO TE PEDIR PERDÃO;373;;PERDÃO;
SENHOR QUERO TE PEDIR PERDÃO;373;;;
ALELUIA LOUVAI A DEUS (SL 150);374;;ALELUIA;
ALELUIA LOUVAI A DEUS (SL 150);374;;;
EIS-ME AQUI SENHOR (venho a ti);375;;AÇÃO DE GRAÇAS;
EIS-ME AQUI SENHOR (venho a ti);375;;MISSÃO;
EIS-ME AQUI SENHOR (venho a ti);375;;;
QUANTO EU ESPEREI;376;;;
SANTO É O SENHOR;377;;SANTO;
SANTO É O SENHOR;377;;;
SIAMO UN CANTO A PIÚ VOCI;378;;ANIMAÇÃO;G
SIAMO UN CANTO A PIÚ VOCI;378;;;
REINA SENHOR;379;;;
SIGNORE GESÚ CRISTO;380;;;
GIOIA (CMV);381;;;
JESUS CONFIO EM TI;382;;OFERTÓRIO;
JESUS CONFIO EM TI;382;;INTERCESSÃO;
JESUS CONFIO EM TI;382;;;
SEJA BEM VINDO;383;;;
ESPÍRITO DE DEUS PREENCHE-ME    ;384;;ESPÍRITO SANTO;
ESPÍRITO DE DEUS PREENCHE-ME;384;;;
MEU CORAÇÃO BATE;385;;ANIMAÇÃO;E
MEU CORAÇÃO BATE;385;;;
HEME AQUI;386;;OFERTÓRIO;
HEME AQUI;386;;MISSÃO;F
HEME AQUI;386;;;
A ALEGRIA;387;;ANIMAÇÃO;
A ALEGRIA;387;;;
SENHOR QUEM ENTRARÁ;388;;;
A BÍBLIA É A PALAVRA DE DEUS;389;;PALAVRA;
A BÍBLIA É A PALAVRA DE DEUS;389;;;
SENHOR JESUS LEMBRA-TE DE MIM  ;390;;QUARESMA;
SENHOR JESUS LEMBRA-TE DE MIM;390;;;
ESTE GOZO;391;;ANIMAÇÃO;E
ESTE GOZO;391;;;
NO MISTÉRIO;392;;COMUNHÃO;
CORDEIRO DE DEUS (Amor e Adoração);392;;;
CANTERÒ SENZA FINE;393;;AÇÃO DE GRAÇAS;
CANTERÒ SENZA FINE;393;;FESTA;
CANTERÒ SENZA FINE;393;;AGRADECIMENTO;
CANTERÒ SENZA FINE;393;;REFRÕES;
CANTERÒ SENZA FINE;393;;;
EU TE BUSCO;394;;ENTRADA;
EU TE BUSCO;394;;LOUVOR;
EU TE BUSCO;394;;ANIMAÇÃO;F
EU TE BUSCO;394;;;
VEM VEM LOUVAR;395;;ENTRADA;
VEM VEM LOUVAR;395;;ANIMAÇÃO;
VEM VEM LOUVAR;395;;;
NOSSOS SONHOS;396;;OFERTÓRIO;
NOSSOS SONHOS;396;;;
A PALAVRA DE DEUS VAI CHEGANDO;397;;PALAVRA;
A PALAVRA DE DEUS VAI CHEGANDO;397;;;
PAZ PAZ DE CRISTO;398;;ABRAÇO DA PAZ;
PAZ PAZ DE CRISTO;398;;;
TÃO SUBLIME;399;;ADORAÇÃO;
TÃO SUBLIME;399;;;
QUEM NOS SEPARARÁ;400;;AÇÃO DE GRAÇAS;
QUEM NOS SEPARARÁ;400;;;
DEUS NOS AMA;401;;ANIMAÇÃO;
DEUS NOS AMA;401;;;
VAMOS JESUS PASSEAR;402;;;
JESUS CHRIST YOU ARE MY LIFE;403;;ADORAÇÃO;
JESUS CHRIST YOU ARE MY LIFE;403;;LOUVOR ADORAÇÃO;
JESUS CHRIST YOU ARE MY LIFE;403;;;
HOJE O MUNDO OFERECE;404;;ANIMAÇÃO;
HOJE O MUNDO OFERECE;404;;;
LOUVOR A VÓS Ó CRISTO   ;405;;QUARESMA;
LOUVOR A VÓS Ó CRISTO;405;;;
SOU BOM PASTOR;406;;AÇÃO DE GRAÇAS;
SOU BOM PASTOR;406;;;
SEU NOME É JESUS CRISTO;407;;MISSÃO;
SEU NOME É JESUS CRISTO;407;;;
MEU CORAÇÃO TRANSBORDA DE AMOR;408;;ALELUIA;
MEU CORAÇÃO TRANSBORDA DE AMOR;408;;;
Ó VEM SENHOR;409;;;
VEM AMIGO VEM;410;;ANIMAÇÃO;
VEM AMIGO VEM;410;;;
FALA QUE SEU SERVO ESCUTA;411;;REFRÕES;
FALA QUE SEU SERVO ESCUTA;411;;;
OBRIGADO SENHOR (Porque és);412;;AGRADECIMENTO;
OBRIGADO SENHOR (Porque és);412;;;
AMÉRICA SAI DA TUA TERRA;413;;ENTRADA;
AMÉRICA SAI DA TUA TERRA;413;;MISSÃO;
AMÉRICA SAI DA TUA TERRA;413;;;
SALVE Ó CRISTO    ;414;;QUARESMA;
SALVE Ó CRISTO;414;;;
PAI NOSSO  (PE. MARCELO);415;;PAI NOSSO;
PAI NOSSO  (PE. MARCELO);415;;;
MINH'ALMA ENGRANDECE (Magnificat GEN);416;;MARIA;C
MINH'ALMA ENGRANDECE (Magnificat GEN);416;;;
QUEREMOS CANTAR TEU LOUVORES;417;;LOUVOR;
QUEREMOS CANTAR TEU LOUVORES;417;;AGRADECIMENTO;
QUEREMOS CANTAR TEU LOUVORES;417;;;
AVE ESTRELA DO MAR;418;;MARIA;A
AVE ESTRELA DO MAR;418;;;
VITÓRIA;419;;;
JUBILATE COELI;420;;;
JUBILAI Ó CÉU;421;;ANIMAÇÃO;D
JUBILAI Ó CÉU;421;;;
GLÓRIA A JESUS NA HÓSTIA SANTA;422;;ADORAÇÃO;
GLÓRIA A JESUS NA HÓSTIA SANTA;422;;;
ALELUIA (Com. Shalom);423;Comunidade Shalom;;
MI MANO ESTA LLENA;424;;;
WAYAYAY;425;;;
HOY SEÑOR;426;;FESTA;
HOY SEÑOR;426;;AGRADECIMENTO;
HOY SEÑOR;426;;;
DE LONGE EU VIM;427;;;
O DIO TU SEI IL MIO DIO (SL 62);428;;SALMO;
O DIO TU SEI IL MIO DIO (SL 62);428;;AÇÃO DE GRAÇAS;
O DIO TU SEI IL MIO DIO (SL 62);428;;;
QUEM É ESSE;429;;ADORAÇÃO;
QUEM É ESSE;429;;LOUVOR ADORAÇÃO;
QUEM É ESSE;429;;;
ÉS MAIS FORMOSA E BELA;430;;MARIA;D
ÉS MAIS FORMOSA E BELA;430;;;
NÓS TE PEDIMOS;431;;INTERCESSÃO;
NÓS TE PEDIMOS;431;;;
SEÑOR VENIMOS ANTE TI;432;;PERDÃO;
SEÑOR VENIMOS ANTE TI;432;;;
FICO FELIZ;433;;ANIMAÇÃO;
FICO FELIZ;433;;;
VIVER SEM TI MEU DEUS;434;;ENTRADA;
VIVER SEM TI MEU DEUS;434;;AÇÃO DE GRAÇAS;
VIVER SEM TI MEU DEUS;434;;;
QUEREMOS QUE CRISTO CREZCA;435;;ANIMAÇÃO;
QUEREMOS QUE CRISTO CREZCA;435;;;
DAMOS GRAÇAS;436;;AÇÃO DE GRAÇAS;
DAMOS GRAÇAS;436;;AGRADECIMENTO;
DAMOS GRAÇAS;436;;REFRÕES;
DAMOS GRAÇAS;436;;;
FESTA FESTA;437;;ANIMAÇÃO;C
FESTA FESTA;437;;;
ALEGRAI-VOS SEMPRE NO SENHOR;438;;ENTRADA;
ALEGRAI-VOS SEMPRE NO SENHOR;438;;ANIMAÇÃO;
ALEGRAI-VOS SEMPRE NO SENHOR;438;;;
AMÉM GLÓRIA AO SENHOR;439;;AMÉM;
AMÉM GLÓRIA AO SENHOR;439;;;
TOCA SENHOR;440;;INTERCESSÃO;
TOCA SENHOR;440;;;
HAY UNA PROMESSA;441;;ANIMAÇÃO;C
HAY UNA PROMESSA;441;;;
ACCLAMATE AL SIGNORE;442;;LOUVOR;
ACCLAMATE AL SIGNORE;442;;;
SU QUESTO ALTARE;443;;OFERTÓRIO;
SU QUESTO ALTARE;443;;;
PAI TE PEDIMOS;444;;REFRÕES;
PAI TE PEDIMOS;444;;;
HONNEUR A JESUS CHRIST;445;;LOUVOR ADORAÇÃO;
HONNEUR A JESUS CHRIST;445;;;
CHRIST TU EST LUMIERE;446;;FINAL;
CHRIST TU EST LUMIERE;446;;LOUVOR;
CHRIST TU EST LUMIERE;446;;;
QUIERO DECIRTE PADRE;447;;;
O DEUS QUE ME CRIOU;448;;ENTRADA;
O DEUS QUE ME CRIOU;448;;;
HEVENU SHALOM;449;;;
AQUI VEMOS PARA TE LOUVAR;450;;ADORAÇÃO;
AQUI VEMOS PARA TE LOUVAR;450;;LOUVOR ADORAÇÃO;
AQUI VEMOS PARA TE LOUVAR;450;;;
BENDITO LOUVADO SEJA;451;;ADORAÇÃO;
BENDITO LOUVADO SEJA;451;;LOUVOR ADORAÇÃO;
BENDITO LOUVADO SEJA;451;;;
GRACIAS, SEÑOR;452;;FINAL;
GRACIAS SEÑOR;452;;;
MISERÍCÓRDIA (Senhor escuta o lamento);453;;PERDÃO;
MISERÍCÓRDIA (Senhor escuta o lamento);453;;;
MEU SENHOR MEU SENHOR;454;;OFERTÓRIO;
MEU SENHOR MEU SENHOR;454;;;
padre;455;;AÇÃO DE GRAÇAS;
PADRE;455;;;
TU QUE VIVES COMIGO;456;;;
ALLELUIA EH;457;;ALELUIA;
ALLELUIA EH;457;;;
CANTEMOS HOJE A VIDA;458;;ENTRADA;
CANTEMOS HOJE A VIDA;458;;;
ALLELUIA LE SEIGNEUR;459;;ALELUIA;
ALLELUIA LE SEIGNEUR;459;;;
DIOS TE SALVE MARIA;460;;;
É PACIENTE O AMOR;461;;;
CONSOLAR-VOS-EI;462;;ENTRADA;
CONSOLAR-VOS-EI  ;462;;QUARESMA;
CONSOLAR-VOS-EI;462;;;
ESPÍRITO SANTO VEM DOS 4 VENTOS    ;463;;ESPÍRITO SANTO;
ESPÍRITO SANTO VEM DOS 4 VENTOS;463;;;
ZAENI;464;;OFERTÓRIO;
ZAENI;464;;;
NADA TE TURBE;465;;AÇÃO DE GRAÇAS;
NADA TE TURBE;465;;REFRÕES;
NADA TE TURBE;465;;;
AVE MARIA (GEN);466;;MARIA;C
AVE MARIA (GEN);466;GEN;;
PADRE NOSTRO (GEN VERDE);467;;PAI NOSSO;
PADRE NOSTRO GEN VERDE);467;;;
GRATIDÃO;468;;AÇÃO DE GRAÇAS;
EU ENCONTREI UM AMOR PERFEITO;468;;;
GLÓRIA AL SENÕR;469;;GLÓRIA;
GLÓRIA AL SENÕR;469;;;
O POVO DE DEUS;470;;ENTRADA;
O POVO DE DEUS;470;;;
TU QUE SIEMPRE;471;;;
UMA TIERRA QUE NÃO TEM FRONTEIRAS;472;;MISSÃO;
UMA TIERRA QUE NÃO TEM FRONTEIRAS;472;;;
ÉS O DEUS DO MEU LOUVOR;473;;LOUVOR;
ÉS O DEUS DO MEU LOUVOR;473;;AGRADECIMENTO;
ÉS O DEUS DO MEU LOUVOR;473;;;
CANTAREI AO SENHOR;474;;LOUVOR;
CANTAREI AO SENHOR;474;;;
TODO HOMEM SIMPLES;475;;;
QUEM PODERÁ;476;;PERDÃO;
QUEM PODERÁ;476;;;
VIEMOS A TI ENTREGAR;477;;INTERCESSÃO;
VIEMOS A TI ENTREGAR;477;;;
JESUS CRISTO;478;;;
DÊ UM SORRISO;479;;ABRAÇO DA PAZ;
DÊ UM SORRISO;479;;LOUVOR;
DÊ UM SORRISO;479;;;
PELAS ESTRADAS DA VIDA;480;;;
QUANTOS RAPAZES;481;;ANIMAÇÃO;
QUANTOS RAPAZES;481;;;
NAQUELE DIA;482;;MARIA;
NAQUELE DIA;482;;;
QUERO VER VOCÊ NÃO CHORAR;483;;;
SUBA A TI SENHOR;484;;;
POR UM MUNDO UNIDO;485;;;
SOU O TEU DEUS;486;;AÇÃO DE GRAÇAS;
SOU O TEU DEUS;486;;INTERCESSÃO;
SOU O TEU DEUS;486;;;
O SENHOR TE ABENÇOE E TE GUARDE;487;;;
DEJAME OIR TU VOZ;487;;;
DE TODAS AS TRIBOS;488;;ENTRADA;
DE TODAS AS TRIBOS;488;;MISSÃO;
DE TODAS AS TRIBOS;488;;;
É O SENHOR;489;;LOUVOR ADORAÇÃO;
É O SENHOR;489;;REFRÕES;
É O SENHOR;489;;;
NOS ENCONTRAMOS PARA CELEBRARMOS;490;;ENTRADA;
NOS ENCONTRAMOS PARA CELEBRARMOS;490;;TRINDADE;
NOS ENCONTRAMOS PARA CELEBRARMOS;490;;ANIMAÇÃO;
NOS ENCONTRAMOS PARA CELEBRARMOS;490;;;
SE ME SUBE À LA CABEZA;491;;ANIMAÇÃO;F#  G
SE ME SUBE À LA CABEZA;491;;;
ÉS VIRGEM MARIA;492;;MARIA;E
ÉS VIRGEM MARIA;492;;;
ÉS VIRGEM MARIA;493;;MARIA;
LADAINHA DOS SANTOS;493;;;
MISERICORDIAS DOMINI;494;;;
DANZA MI PAIS;495;;;
PAI NOSSO GRITAMOS O TEU NOME;496;;PAI NOSSO;
PAI NOSSO GRITAMOS O TEU NOME;496;;;
NADA QUE NOS PRENDA;497;;AÇÃO DE GRAÇAS;
NADA QUE NOS PRENDA;497;;;
DEBULHAR O TRIGO;498;;OFERTÓRIO;
DEBULHAR O TRIGO;498;;;
NOVO AMANHÃ;499;;MISSÃO;
NOVO AMANHÃ;499;;;
SE AVESSI MAI COMMESSO;500;;PERDÃO;
SE AVESSI MAI COMMESSO;500;;;
HOJE A NOITE É BELA;501;;;
SEJA O CENTRO;502;;AÇÃO DE GRAÇAS;
SEJA O CENTRO;502;;ADORAÇÃO;
SEJA O CENTRO;502;;;
VIVE JESUS EL SEÑOR;503;;;
LOUVA POVO DE DEUS;504;;LOUVOR;
LOUVA POVO DE DEUS;504;;;
CRISTO É MINHA VIDA;505;;;
ESTE É UM TEMPO DE FESTA;506;;ANIMAÇÃO;
ESTE É UM TEMPO DE FESTA;506;;;
BATIZA-ME (pois minha alma);507;;;
EU TE LOUVAREI (na presença dos anjos);508;;ADORAÇÃO;
EU TE LOUVAREI (na presença dos anjos);508;;LOUVOR ADORAÇÃO;
EU TE LOUVAREI (na presença dos anjos);508;;;
O MFUMU BAKA MONO;509;;;
FOI NUM SANTO LUGAR;510;;AÇÃO DE GRAÇAS;
FOI NUM SANTO LUGAR;510;;AGRADECIMENTO;
FOI NUM SANTO LUGAR;510;;;
VEM VEM MARIA;511;;MARIA;Am
VEM VEM MARIA;511;;;
UNAMOS NOSSAS MÃOS;512;;;
Una luce che rischiara;513;;AÇÃO DE GRAÇAS;
UNA LUCE CHE RISCHIARA;513;;;
VEM SENHOR VEM MARANATHÁ (P. Comi);514;;;
PROSTAMO-NOS;515;;;
GLÓRIA E LOUVOR (P. Spoladore);516;;LOUVOR;
GLÓRIA E LOUVOR (P. Spoladore)   ;516;;QUARESMA;
GLÓRIA E LOUVOR (P. Spoladore);516;;;
MINHA FORÇA E MEU CANTO;517;;SALMO;
MINHA FORÇA E MEU CANTO;517;;FINAL;
MINHA FORÇA E MEU CANTO;517;;LOUVOR;
MINHA FORÇA E MEU CANTO;517;;INTERCESSÃO;
MINHA FORÇA E MEU CANTO;517;;AGRADECIMENTO;
MINHA FORÇA E MEU CANTO;517;;;
TU SEI RE;518;;AÇÃO DE GRAÇAS;
TU SEI RE;518;;ADORAÇÃO;
TU SEI RE;518;;LOUVOR ADORAÇÃO;
TU SEI RE;518;;;
ESPÍRITO DE DIOS LLENA MI VIDA    ;519;;ESPÍRITO SANTO;
ESPÍRITO DE DIOS LLENA MI VIDA;519;;;
A QUEM ESTÁ NA ANGUSTIA;520;;INTERCESSÃO;
A QUEM ESTÁ NA ANGUSTIA;520;;;
ESCUTA O PAI O CLAMOR;521;;;
PERQUE TU SEI QUI;522;;ANIMAÇÃO;
PERCHÉ TU SEI QUI;522;;;
A NÓS DESCEI    ;523;;ESPÍRITO SANTO;
A NÓS DESCEI;523;;;
TU QUE RENOVAS;524;;;
T'INVOCHIAMO SPIRITO    ;525;;ESPÍRITO SANTO;
T'INVOCHIAMO SPIRITO;525;;;
SI EL ESPIRITU;526;;ANIMAÇÃO;D
SI EL ESPIRITU;526;;;
ESTE É O DIA;527;;ENTRADA;
ESTE É O DIA;527;;;
EL ESPIRITU DE DIOS    ;528;;ESPÍRITO SANTO;
EL ESPIRITU DE DIOS;528;;;
ENSEÑAME;529;;;
VIENS SEIGNEUR;530;;;
COMO CORRE UN RIO;531;;ANIMAÇÃO;D
COMO CORRE UN RIO;531;;;
LOUVOR E GLÓRIA A TI SENHOR (CF 2003)    ;532;;QUARESMA;
LOUVOR E GLÓRIA A TI SENHOR (CF 2003);532;;;
ELE È EXALTADO;533;;ADORAÇÃO;
ELE È EXALTADO;533;;LOUVOR ADORAÇÃO;
ELE È EXALTADO;533;;;
VIENS ESPRIT DE PAIX    ;534;;ESPÍRITO SANTO;
VIENS ESPRIT DE PAIX;534;;;
TU ÉS O SANTO;535;;AÇÃO DE GRAÇAS;
TU ÉS O SANTO;535;;LOUVOR ADORAÇÃO;
TU ÉS O SANTO;535;;;
ME HAN ABLADO;536;;;
MÃOS NA TERRA;537;;OFERTÓRIO;
MÃOS  NA TERRA;537;;;
LA UNICA RAZÓN;538;;ANIMAÇÃO;
LA UNICA RAZON;538;;;
TOMADO PELA MÃO;539;;FINAL;
TOMADO PELA MÃO;539;;;
VEJO MUDAR;540;;;
TIRO LIRO;541;;ANIMAÇÃO;G
TIRO LIRO;541;;;
ALELUYA YO SERÉ TU DIOS;542;;ALELUIA;
ALELUYA YO SERÉ TU DIOS;542;;;
ALELUIA AO REDENTOR;543;;ALELUIA;
ALELUIA AO REDENTOR;543;;;
DEUS NOS TRATA;544;;AÇÃO DE GRAÇAS;
DEUS NOS TRATA;544;;;
CRISTO RESSUSCITADO;545;;LOUVOR ADORAÇÃO;
CRISTO RESSUSCITADO;545;;;
GLÓRIA ALELUIA;546;;GLÓRIA;
GLÓRIA ALELUIA;546;;;
É TÃO LINDA A VIDA;547;;;
SENHOR O TEU AMOR É GRANDE;548;;ADORAÇÃO;
SENHOR O TEU AMOR É GRANDE;548;;ADORAÇÃO;
SENHOR O TEU AMOR É GRANDE;548;;;
MISSÃO É PARTIR;549;;MISSÃO;
MISSÃO É PARTIR;549;;;
EU ENTRAREI NA TENDA;550;;;
ABENÇOA SENHOR (cada um);551;;OFERTÓRIO;
ABENÇOA SENHOR (cada um);551;;;
LODE E GLORIA A TE SIGNORE GESÚ    ;552;;QUARESMA;
LODE E GLORIA A TE SIGNORE GESÚ;552;;;
LOUVAI A DEUS LOUVAI;553;;LOUVOR;
LOUVAI A DEUS LOUVAI;553;;;
QUANDO OS PÉS;554;;;
AVE AVE AVE MARIA;555;;MARIA;D
AVE AVE AVE MARIA;555;;;
OBRIGADO SENHOR (Tua presença conduz);556;;AGRADECIMENTO;
OBRIGADO SENHOR (Tua presença conduz);556;;REFRÕES;
OBRIGADO SENHOR (Tua presença conduz);556;;PARA BÊNÇÃO;
OBRIGADO SENHOR (Tua presença conduz);556;;;
ALELUIA POR QUE PROCURASTES;557;;ALELUIA;
ALELUIA POR QUE PROCURASTES;557;;;
MEU JESUS SALVADOR;558;;ADORAÇÃO;
MEU JESUS SALVADOR;558;;LOUVOR ADORAÇÃO;
MEU JESUS SALVADOR;558;;;
TU ABRISTE OS TEUS BRAÇOS;559;;AÇÃO DE GRAÇAS;
TU ABRISTE OS TEUS BRAÇOS;559;;;
SENHOR PIEDADE (GEN);560;;PERDÃO;
SENHOR PIEDADE (GEN);560;;;
CRISTO QUER FAZER EM MIM;561;;ENTRADA;
CRISTO QUER FAZER EM MIM;561;;ANIMAÇÃO;
CRISTO QUER FAZER EM MIM;561;;;
JESUS NOSSO SENHOR;562;;ADORAÇÃO;
JESUS NOSSO SENHOR;562;;;
POR TUDO QUE TEM FEITO;563;;AGRADECIMENTO;
POR TUDO QUE TEM FEITO;563;;;
LA MIA ANIMA CANTA;564;;AÇÃO DE GRAÇAS;
LA MIA ANIMA CANTA;564;;;
ANCHE OGGI O SIGNORE;565;;OFERTÓRIO;
ANCHE OGGI O SIGNORE;565;;AÇÃO DE GRAÇAS;
ANCHE OGGI O SIGNORE;565;;;
A TE PIEDS O DIVIN ROI;566;;OFERTÓRIO;
A TE PIEDS O DIVIN ROI;566;;;
BOM É O SENHOR;567;;ENTRADA;
BOM É O SENHOR;567;;;
ALLA TUA PRESENZA;568;;ENTRADA;
ALLA TUA PRESENZA;568;;LOUVOR;
ALLA TUA PRESENZA;568;;ANIMAÇÃO;F
ALLA TUA PRESENZA;568;;;
CON UN CUORE SOLO;569;;AÇÃO DE GRAÇAS;
CON UN CUORE SOLO;569;;TRINDADE;F
CON UN CUORE SOLO;569;;;
MANDA TEUS ANJOS;570;;;
ESTAMOS AQUI SENHOR AOS TEUS PÉS;571;;;
UMA VIDA NOVA EM CRISTO;572;;ENTRADA;
UMA VIDA NOVA EM CRISTO;572;;ANIMAÇÃO;
UMA VIDA NOVA EM CRISTO;572;;;
CRISTO È RISORTO VERAMENTE;573;;ENTRADA;
CRISTO È RISORTO VERAMENTE;573;;AÇÃO DE GRAÇAS;
CRISTO È RISORTO VERAMENTE;573;;;
JESUS É SENHOR;574;;ADORAÇÃO;
JESUS É SENHOR;574;;LOUVOR ADORAÇÃO;
JESUS É SENHOR;574;;;
LINGUAS DIFERENTES;575;;MISSÃO;
LINGUAS DIFERENTES;575;;;
QUEM PERDE A SUA VIDA;576;;AÇÃO DE GRAÇAS;
QUEM PERDE A SUA VIDA;576;;;
ALLELUIA CHRIST EST VIVANT;577;;ALELUIA;
ALLELUIA CHRIST EST VIVANT;577;;;
ALELUIA ESTA TUA PALAVRA;578;;ALELUIA;
ALELUIA ESTA TUA PALAVRA;578;;;
EIS-NOS Ó SENHOR;579;;OFERTÓRIO;
EIS-NOS Ó SENHOR;579;;;
ME LEVANTARÉ;580;;ENTRADA;
ME LEVANTARÉ;580;;MISSÃO;A
ME LEVANTARÉ;580;;;
BOM DEMAIS;581;;ANIMAÇÃO;E
BOM DEMAIS;581;;;
A GRANDE FESTA;582;;ANIMAÇÃO;G
A GRANDE FESTA;582;;;
ALEGRAI-VOS NO SENHOR;583;;;
MAGNIFICA L' ANIMA MIA IL SIGNORE;584;;MARIA;D
MAGNIFICA L' ANIMA MIA IL SIGNORE;584;;;
SPIRITO DI DIO VIENI AMORE DEL PADRE    ;585;;ESPÍRITO SANTO;
SPIRITO DI DIO VIENI AMORE DEL PADRE;585;;;
MARANATHA (M. Draghi);586;;;
TU ES BENIE;587;;MARIA;Em
TU ES BENIE;587;;;
LAUDATO SII;588;;;
ALLELUIA ECCOMI;589;;ALELUIA;
ALLELUIA ECCOMI;589;;;
DIO AMA CHI DONA CON GIOIA;590;;OFERTÓRIO;
DIO AMA CHI DONA CON GIOIA;590;;;
JÁ É TEMPO DE AMAR;591;;AÇÃO DE GRAÇAS;
JÁ É TEMPO DE AMAR;591;;;
LOUONS DIEU;592;;;
AVE MARIA;593;;MARIA;
AVE MARIA (Elisa L.);593;Elisa Lisiero;;
EM TEUS ÁTRIOS;594;;LOUVOR;
EM TEUS ÁTRIOS;594;;ANIMAÇÃO;Em
EM TEUS ÁTRIOS;594;;;
QUERO VER VOCÊ VIR;595;;;
LEVANTO AS MÃOS;596;;LOUVOR ADORAÇÃO;
LEVANTO AS MÃOS;596;;;
SE EU CONHECESSE;597;;ANIMAÇÃO;Dm
SE EU CONHECESSE;597;;;
COMO É BOM A GENTE;598;;ENTRADA;
COMO É BOM A GENTE;598;;ANIMAÇÃO;
COMO É BOM A GENTE;598;;;
QUEM PODIA IMAGINAR;599;;COMUNHÃO;
QUEM PODIA IMAGINAR;599;;AÇÃO DE GRAÇAS;
QUEM PODIA IMAGINAR;599;;;
VEM SENHOR JESUS;600;;;
INVOCAMOS O TEU NOME;601;;INTERCESSÃO;
INVOCAMOS O TEU NOME;601;;;
IL N'Y A VRAIMENT;602;;ANIMAÇÃO;E
IL N'Y A VRAIMENT;602;;;
TODOS REUNIDOS;603;;ENTRADA;
O ESPÍRITO SANTO ESTA AQUI    ;603;;ESPÍRITO SANTO;
O ESPÍRITO SANTO ESTA AQUI;603;;;
MORREU PRA ME SALVAR;604;;ANIMAÇÃO;
MORREU PRA ME SALVAR;604;;;
GUEYE TATA;605;;ANIMAÇÃO;E
GUEYE TATA;605;;;
GLÓRIA A DEUS (GEN);606;;GLÓRIA;
GLÓRIA A DEUS (GEN);606;;;
BENEDIRÒ IL SIGNORE  (C. Medas);607;;FESTA;
BENEDIRÒ IL SIGNORE  (C. Medas);607;;AGRADECIMENTO;
BENEDIRÒ IL SIGNORE  (C. Medas);607;Clara Medas;;
CANTO LOUVORES;608;;GLÓRIA;
CANTO LOUVORES;608;;;
O LOUVOR O PODER;609;;AÇÃO DE GRAÇAS;
O LOUVOR O PODER;609;;LOUVOR ADORAÇÃO;
O LOUVOR O PODER;609;;;
OLHA SÓ QUEM VEM LÁ;610;;ANIMAÇÃO;A
OLHA SÓ QUEM VEM LÁ;610;;;
VINDE ESPÍRITO SANTO    ;611;;ESPÍRITO SANTO;
VINDE ESPÍRITO SANTO;611;;;
GRAZIE GRAZIE GRAZIE SIGNORE;612;;REFRÕES;
GRAZIE GRAZIE GRAZIE SIGNORE;612;;PARA BÊNÇÃO;
GRAZIE GRAZIE GRAZIE SIGNORE;612;;;
NO CORACÃO DE DEUS;613;;ENTRADA;
NO CORACÃO DE DEUS;613;;ANIMAÇÃO;E
NO CORACÃO DE DEUS;613;;;
MISERICÓRDIA (Senhor piedade);614;;PERDÃO;
MISERICÓRDIA (Senhor piedade);614;;;
MAGNIFICAT (Alexandre e Stefano);615;;MARIA;
MAGNIFICAT (Alexandre e Stefano);615;;;
Por Isso Eu Te Louvo;616;;ALELUIA;
POR ISSO EU TE LOUVO;616;;;
JESUS TU ES O NOSSO DEUS AMADO;617;;ADORAÇÃO;
JESUS TU ES O NOSSO DEUS AMADO;617;;;
DECLARAMOS;618;;ADORAÇÃO;
DECLARAMOS;618;;LOUVOR ADORAÇÃO;
DECLARAMOS;618;;;
ISTO É O QUE NÓS TEMOS;619;;OFERTÓRIO;
ISTO É O QUE NÓS TEMOS;619;;;
ADORAR;620;;ADORAÇÃO;
ADORAR;620;;REFRÕES;
ADORAR;620;;;
PROCLAMA MINH'ALMA;621;;AÇÃO DE GRAÇAS;
PROCLAMA MINH'ALMA;621;;MARIA;G
PROCLAMA MINH'ALMA;621;;;
SANTO ESPÍRITO SANTO    ;622;;ESPÍRITO SANTO;
SANTO ESPÍRITO SANTO;622;;;
CORDEIRO DE DEUS;623;;CORDEIRO DE DEUS;
CORDEIRO DE DEUS;623;;;
SÓ POR TI JESUS;624;;OFERTÓRIO;
SÓ POR TI JESUS;624;;AÇÃO DE GRAÇAS;
SÓ POR TI JESUS;624;;ADORAÇÃO;
SÓ POR TI JESUS;624;;LOUVOR ADORAÇÃO;
SÓ POR TI JESUS;624;;;
A COMEÇAR EM MIM;625;;PERDÃO;
A COMEÇAR EM MIM;625;;;
DEIXA-ME FICAR EM PAZ;626;;PALAVRA;
DEIXA-ME FICAR EM PAZ;626;;;
ERGUEI AS MÃOS;627;;ANIMAÇÃO;
ERGUEI AS MÃOS;627;;;
DIANTE DA TUA PRESENÇA;628;;OFERTÓRIO;
DIANTE DA TUA PRESENÇA;628;;AÇÃO DE GRAÇAS;
DIANTE DA TUA PRESENÇA;628;;ADORAÇÃO;
DIANTE DA TUA PRESENÇA;628;;;
SANTO (CMV 2010);629;;SANTO;
SANTO (CMV 2010);629;;;
EU ESPERO EM DEUS;630;;ADORAÇÃO;
EU ESPERO EM DEUS;630;;INTERCESSÃO;
EU ESPERO EM DEUS;630;;;
KOL RINA;631;;;
HINE MA TOV;632;;SALMO;
HINE MA TOV;632;;;
