NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
UMA NOITE DE SUOR;171;;OFERTÓRIO;
VEM MARIA VEM;172;;MARIA;Am
NOI CREDIAMO IN TE;173;;TRINDADE;C
MAJESTADE;174;;;
SANTO (DOS ANJOS);175;;SANTO;
EL ES EL REY;176;;FINAL, LOUVOR;
ALELUIA COMO O PAI ME AMOU;177;;ALELUIA;
LAUDATE OMNES GENTES;178;;AÇÃO DE GRAÇAS;
PELOS PRADOS (SL 23);179;;SALMO;
Ô Ô Ô CRISTO;180;;OFERTÓRIO;
QUERO DIZER MEU SIM;181;;OFERTÓRIO, MARIA;
TRINDADE OCEANO DE PAZ;182;;TRINDADE;G
VIVER A VIDA;183;;AÇÃO DE GRAÇAS;
O ESPÍRITO DO SENHOR    ;184;;ESPÍRITO SANTO;
MARIA SOMOS FILHOS TEUS;185;;MARIA;D
GLÓRIA GLÓRIA ALELUIA;186;;GLÓRIA;
SABES SENHOR  ;187;;OFERTÓRIO;
AO OLHAR A TUA CRUZ;188;;OFERTÓRIO;
MANTOS E PALMAS (Hosana hosana ao Rei);189;;;
MARIA MÃE DO UNIVERSO;190;;MARIA;G
MISTERO INFINITO D'AMORE;191;;TRINDADE;C
GLÓRIA (A Deus porque Ele vive - Gl. Seara);192;;GLÓRIA;
EM NOME DO PAI (Deus trino);193;;;
VEM VEM VEM ESPÍRITO SANTO;194;;ENTRADA, ANIMAÇÃO;G
ME CHAMASTE PARA CAMINHAR;195;;COMUNHÃO;
LODATE DIO;196;;LOUVOR ADORAÇÃO, REFRÕES;
SIMPLICIDADE;197;;OFERTÓRIO, AÇÃO DE GRAÇAS;
ALELUIA ALGUÉM DO POVO;198;;ALELUIA;
QUÃO BOM;199;;ABRAÇO DA PAZ;
GLÓRIA AO PAI CRIADOR;200;;GLÓRIA;
FICA EM MIM;201;;AÇÃO DE GRAÇAS;
ESPEREI CONFIANTEMENTE (SL 39);202;;SALMO;
CRISTO VIVE EM MIM;203;;;
DESCE SOBRE NÓS    ;204;;ESPÍRITO SANTO;
UM CORAÇÃO PARA AMAR;205;;OFERTÓRIO;
O SENHOR É REI;206;;ANIMAÇÃO, FINAL, LOUVOR;Em
MIRAD CUAL AMOR;207;;;
QUERO LOUVAR-TE;208;;LOUVOR, ANIMAÇÃO;
MAS MAS ALLÁ;209;;REFRÕES, MISSÃO;
MESTRE BOM É ESTARMOS AQUI;210;;ENTRADA;
SANTO ÉS SENHOR;211;;LOUVOR ADORAÇÃO, REFRÕES;
EU SEI QUE FOI PAGO;212;;AÇÃO DE GRAÇAS;
SANTO JMJ 2013;213;Padre Cleidimar;SANTO;
COM TEU AMOR (RnS);214;;AÇÃO DE GRAÇAS;
A TUA GRAÇA;215;;FINAL;
COMO É GRANDE (SL 30);216;;SALMO;
EU TENHO PAZ COMO UM RIO;217;;ABRAÇO DA PAZ;
COMO TU;218;;ADORAÇÃO;
GLORIFICA AO SENHOR (SL 103);219;;SALMO;
JESUS EM TUA PRESENÇA;220;;;
PÃO E VINHO;221;;OFERTÓRIO;
VEM ESPÍRITO DE DEUS    ;222;;ESPÍRITO SANTO;
ENCHE-ME ESPÍRITO    ;223;;ESPÍRITO SANTO;
COLUI CHE HA DATO TUTTO SE STESSO;224;Maria Assunta Cinus;FINAL, RESUREIÇÃO;
SENHOR SE TUA VOZ NÃO OUVI;225;;PERDÃO;
